214: X: -0.629955, Y: 0.275188, Z: 0.726243
215: X: -0.641387, Y: -0.238142, Z: 0.729322
216: X: -0.432625, Y: -0.850997, Z: 0.297725
217: X: -0.308054, Y: -0.946529, Z: 0.095844
218: X: -0.008473, Y: -0.949490, Z: -0.313682
219: X: 0.293518, Y: -0.707709, Z: -0.642647
220: X: 0.518130, Y: -0.282942, Z: -0.807146
221: X: 0.606128, Y: 0.215892, Z: -0.765506
222: X: 0.533899, Y: 0.661404, Z: -0.526780
223: X: 0.318234, Y: 0.937208, Z: -0.142715
224: X: 0.011074, Y: 0.952688, Z: 0.303747
225: X: -0.301647, Y: 0.678661, Z: 0.669648
226: X: -0.525260, Y: 0.222851, Z: 0.821242
227: X: -0.605648, Y: -0.276367, Z: 0.746198
228: X: -0.500111, Y: -0.843176, Z: 0.197340
229: X: -0.402972, Y: -0.914966, Z: -0.021219
230: X: -0.129829, Y: -0.884346, Z: -0.448416
231: X: 0.176771, Y: -0.625044, Z: -0.760311
232: X: 0.436216, Y: -0.202944, Z: -0.876658
233: X: 0.580589, Y: 0.273915, Z: -0.766738
234: X: 0.571883, Y: 0.682614, Z: -0.454960
235: X: 0.410012, Y: 0.912002, Z: -0.011929
236: X: 0.131698, Y: 0.882399, Z: 0.451694
237: X: -0.186924, Y: 0.592204, Z: 0.783807
238: X: -0.449862, Y: 0.147887, Z: 0.880769
239: X: -0.588401, Y: -0.324262, Z: 0.740701
240: X: -0.561014, Y: -0.821768, Z: 0.099810
241: X: -0.481044, Y: -0.867362, Z: -0.127588
242: X: -0.220452, Y: -0.799033, Z: -0.559417
243: X: 0.097218, Y: -0.523107, Z: -0.846704
244: X: 0.388846, Y: -0.109812, Z: -0.914735
245: X: 0.578341, Y: 0.334622, Z: -0.744009
246: X: 0.615561, Y: 0.693841, Z: -0.373724
247: X: 0.487155, Y: 0.866729, Z: 0.107052
248: X: 0.220898, Y: 0.792790, Z: 0.568056
249: X: -0.109397, Y: 0.491989, Z: 0.863701
250: X: -0.405757, Y: 0.064321, Z: 0.911715
251: X: -0.589377, Y: -0.372895, Z: 0.716647
252: X: -0.613684, Y: -0.789492, Z: 0.009714
253: X: -0.541578, Y: -0.810886, Z: -0.221714
254: X: -0.281876, Y: -0.707188, Z: -0.648406
255: X: 0.051363, Y: -0.418856, Z: -0.906599
256: X: 0.371152, Y: -0.019708, Z: -0.928363
257: X: 0.593918, Y: 0.386840, Z: -0.705419
258: X: 0.660004, Y: 0.692639, Z: -0.290940
259: X: 0.547504, Y: 0.809952, Z: 0.210280
260: X: 0.281229, Y: 0.698380, Z: 0.658161
261: X: -0.063954, Y: 0.391543, Z: 0.917934
262: X: -0.387935, Y: -0.016201, Z: 0.921545
263: X: -0.604350, Y: -0.414858, Z: 0.680187
264: X: -0.657806, Y: -0.750062, Z: -0.068549
265: X: -0.586848, Y: -0.751408, Z: -0.301653
266: X: -0.320536, Y: -0.618478, Z: -0.717455
267: X: 0.030012, Y: -0.323360, Z: -0.945800
268: X: 0.373250, Y: 0.057822, Z: -0.925927
269: X: 0.619051, Y: 0.425418, Z: -0.660148
270: X: 0.700869, Y: 0.680423, Z: -0.214028
271: X: 0.592448, Y: 0.749284, Z: 0.295936
272: X: 0.319202, Y: 0.608561, Z: 0.726473
273: X: -0.041817, Y: 0.300162, Z: 0.952971
274: X: -0.388077, Y: -0.085777, Z: 0.917627
275: X: -0.627296, Y: -0.445916, Z: 0.638481
276: X: -0.693977, Y: -0.707755, Z: -0.132205
277: X: -0.620308, Y: -0.693634, Z: -0.366183
278: X: -0.343989, Y: -0.538772, Z: -0.769023
279: X: 0.023263, Y: -0.242091, Z: -0.969975
280: X: 0.385301, Y: 0.119312, Z: -0.915045
281: X: 0.646531, Y: 0.450203, Z: -0.615885
282: X: 0.735766, Y: 0.660812, Z: -0.148239
283: X: 0.625196, Y: 0.690607, Z: 0.363582
284: X: 0.342231, Y: 0.529029, Z: 0.776535
285: X: -0.033750, Y: 0.222947, Z: 0.974246
286: X: -0.397680, Y: -0.140910, Z: 0.906640
287: X: -0.652563, Y: -0.465376, Z: 0.597986
288: X: -0.723252, Y: -0.666555, Z: -0.180587
289: X: -0.645371, Y: -0.641065, Z: -0.415371
290: X: -0.358719, Y: -0.470988, Z: -0.805910
291: X: 0.023181, Y: -0.176537, Z: -0.984021
292: X: 0.400003, Y: 0.165260, Z: -0.901491
293: X: 0.671759, Y: 0.463780, Z: -0.577623
294: X: 0.764219, Y: 0.637780, Z: -0.095947
295: X: 0.649389, Y: 0.637639, Z: 0.414379
296: X: 0.356784, Y: 0.462140, Z: 0.811869
297: X: -0.032168, Y: 0.161057, Z: 0.986421
298: X: -0.410030, Y: -0.181887, Z: 0.893752
299: X: -0.676034, Y: -0.475165, Z: 0.563203
300: X: -0.746888, Y: -0.629292, Z: -0.214826
301: X: -0.664902, Y: -0.595625, Z: -0.450707
302: X: -0.369421, Y: -0.415588, Z: -0.831152
303: X: 0.024414, Y: -0.125509, Z: -0.991792
304: X: 0.412779, Y: 0.198317, Z: -0.888979
305: X: 0.692264, Y: 0.469691, Z: -0.547870
306: X: 0.786610, Y: 0.614765, Z: -0.057516
307: X: 0.668003, Y: 0.592537, Z: 0.450191
