170: X: 45.658283, Y: -32.641087, Z: 8.528111
171: X: 49.531872, Y: -29.964787, Z: 4.484563
172: X: 50.739796, Y: -25.497831, Z: 0.348770
173: X: 48.958389, Y: -20.437136, Z: -2.771084
174: X: 44.664974, Y: -16.138710, Z: -4.039037
175: X: 39.009983, Y: -13.754310, Z: -3.115342
176: X: 33.508652, Y: -13.922836, Z: -0.247504
177: X: 29.635061, Y: -16.599134, Z: 3.796045
178: X: 28.427137, Y: -21.066088, Z: 7.931837
179: X: 30.208544, Y: -26.126781, Z: 11.051693
180: X: 31.862783, Y: -33.497974, Z: 7.846778
181: X: 36.930653, Y: -36.519707, Z: 5.922348
182: X: 42.042973, Y: -36.748489, Z: 2.411028
183: X: 45.829910, Y: -34.123024, Z: -1.746324
184: X: 47.276760, Y: -29.346800, Z: -5.435752
185: X: 45.995831, Y: -23.699604, Z: -7.668674
186: X: 42.330353, Y: -18.694597, Z: -7.846784
187: X: 37.262493, Y: -15.672866, Z: -5.922355
188: X: 32.150169, Y: -15.444079, Z: -2.411038
189: X: 28.363228, Y: -18.069544, Z: 1.746314
190: X: 26.916382, Y: -22.845764, Z: 5.435742
191: X: 28.197306, Y: -28.492958, Z: 7.668667
192: X: 28.698830, Y: -35.337677, Z: 3.816411
193: X: 32.962738, Y: -38.728153, Z: 0.842982
194: X: 37.552265, Y: -39.149605, Z: -3.313485
195: X: 41.237640, Y: -36.489090, Z: -7.539265
196: X: 43.031384, Y: -31.459501, Z: -10.702065
197: X: 42.452850, Y: -25.408512, Z: -11.954415
198: X: 39.657066, Y: -19.957481, Z: -10.960752
199: X: 35.393158, Y: -16.567001, Z: -7.987322
200: X: 30.803637, Y: -16.145555, Z: -3.830858
201: X: 27.118256, Y: -18.806063, Z: 0.394922
202: X: 25.324516, Y: -23.835648, Z: 3.557723
203: X: 25.903044, Y: -29.886631, Z: 4.810077
204: X: 25.229963, Y: -36.097298, Z: 0.228859
205: X: 28.596912, Y: -39.501591, Z: -3.719812
206: X: 32.623009, Y: -39.855175, Z: -8.429705
207: X: 36.229458, Y: -37.063309, Z: -12.638809
208: X: 38.449917, Y: -31.874073, Z: -15.219298
209: X: 38.689419, Y: -25.677916, Z: -15.479733
210: X: 36.883785, Y: -20.135096, Z: -13.350329
211: X: 33.516838, Y: -16.730801, Z: -9.401661
212: X: 29.490742, Y: -16.377214, Z: -4.691769
213: X: 25.884291, Y: -19.169079, Z: -0.482665
214: X: 23.663832, Y: -24.358313, Z: 2.097826
215: X: 23.424330, Y: -30.554466, Z: 2.358264
216: X: 21.628628, Y: -35.947350, Z: -2.957486
217: X: 24.175936, Y: -39.031898, Z: -7.702413
218: X: 27.721424, Y: -39.082832, Z: -12.795985
219: X: 31.315081, Y: -36.086502, Z: -16.873384
220: X: 33.993992, Y: -30.845772, Z: -18.842072
221: X: 35.040344, Y: -24.764893, Z: -18.174541
222: X: 34.173763, Y: -19.473228, Z: -15.049661
223: X: 31.626459, Y: -16.388680, Z: -10.304735
224: X: 28.080971, Y: -16.337744, Z: -5.211164
225: X: 24.487314, Y: -19.334070, Z: -1.133765
226: X: 21.808403, Y: -24.574799, Z: 0.834925
227: X: 20.762051, Y: -30.655676, Z: 0.167400
228: X: 18.029051, Y: -35.043449, Z: -5.787476
229: X: 19.957672, Y: -37.586933, Z: -11.109945
230: X: 23.189390, Y: -37.194229, Z: -16.393822
231: X: 26.858267, Y: -33.970562, Z: -20.223293
232: X: 29.981236, Y: -28.779711, Z: -21.572258
233: X: 31.721493, Y: -23.012562, Z: -20.079262
234: X: 31.612741, Y: -18.214417, Z: -16.144352
235: X: 29.684122, Y: -15.670931, Z: -10.821886
236: X: 26.452408, Y: -16.063635, Z: -5.538011
237: X: 22.783529, Y: -19.287298, Z: -1.708537
238: X: 19.660563, Y: -24.478146, Z: -0.359569
239: X: 17.920303, Y: -30.245295, Z: -1.852562
240: X: 14.534112, Y: -33.521675, Z: -8.288573
241: X: 16.078171, Y: -35.433479, Z: -13.987557
242: X: 19.176687, Y: -34.561378, Z: -19.293798
243: X: 22.999413, Y: -31.139038, Z: -22.785492
244: X: 26.522053, Y: -26.083481, Z: -23.527044
245: X: 28.800716, Y: -20.749334, Z: -21.319756
246: X: 29.224842, Y: -16.565882, Z: -16.755066
247: X: 27.680782, Y: -14.654073, Z: -11.056084
248: X: 24.582268, Y: -15.526178, Z: -5.749843
249: X: 20.759544, Y: -18.948515, Z: -2.258147
250: X: 17.236906, Y: -24.004072, Z: -1.516593
251: X: 14.958239, Y: -29.338217, Z: -3.723879
252: X: 11.219981, Y: -31.506399, Z: -10.461392
253: X: 12.578910, Y: -32.798855, Z: -16.377510
254: X: 15.686966, Y: -31.490738, Z: -21.587725
255: X: 19.711353, Y: -27.932552, Z: -24.695969
256: X: 23.573738, Y: -23.077713, Z: -24.869389
257: X: 26.239199, Y: -18.227072, Z: -22.061518
258: X: 26.993525, Y: -14.680348, Z: -17.024723
259: X: 25.634600, Y: -13.387892, Z: -11.108607
260: X: 22.526541, Y: -14.696008, Z: -5.898392
261: X: 18.502157, Y: -18.254192, Z: -2.790146
262: X: 14.639771, Y: -23.109030, Z: -2.616724
263: X: 11.974309, Y: -27.959673, Z: -5.424592
264: X: 8.131978, Y: -29.118910, Z: -12.294518
265: X: 9.441464, Y: -29.866396, Z: -18.314821
266: X: 12.644936, Y: -28.207214, Z: -23.364815
267: X: 16.884029, Y: -24.585939, Z: -26.091354
268: X: 21.022881, Y: -19.972891, Z: -25.763866
269: X: 23.952488, Y: -15.604132, Z: -22.470102
270: X: 24.887867, Y: -12.650264, Z: -17.092625
271: X: 23.578382, Y: -11.902777, Z: -11.072321
272: X: 20.374910, Y: -13.561956, Z: -6.022327
273: X: 16.135818, Y: -17.183229, Z: -3.295786
274: X: 11.996967, Y: -21.796276, Z: -3.623271
275: X: 9.067359, Y: -26.165037, Z: -6.917031
276: X: 5.284200, Y: -26.475048, Z: -13.783802
277: X: 6.617496, Y: -26.778574, Z: -19.837540
278: X: 9.950899, Y: -24.863106, Z: -24.709599
279: X: 14.391229, Y: -21.241886, Z: -27.094511
280: X: 18.748701, Y: -16.885221, Z: -26.353243
281: X: 21.855734, Y: -12.960478, Z: -22.684420
282: X: 22.879801, Y: -10.519283, Z: -17.071095
283: X: 21.546505, Y: -10.215756, Z: -11.017358
284: X: 18.213102, Y: -12.131226, Z: -6.145301
285: X: 13.772776, Y: -15.752440, Z: -3.760385
286: X: 9.415305, Y: -20.109104, Z: -4.501650
287: X: 6.308270, Y: -24.033850, Z: -8.170471
288: X: 2.665444, Y: -23.675337, Z: -14.944822
289: X: 4.048006, Y: -23.636009, Z: -20.994989
290: X: 7.509765, Y: -21.547682, Z: -25.703777
291: X: 12.123144, Y: -17.969927, Z: -27.809469
292: X: 16.651995, Y: -13.861394, Z: -26.747845
293: X: 19.882813, Y: -10.322968, Z: -22.803370
294: X: 20.949905, Y: -8.302761, Z: -17.032959
295: X: 19.567345, Y: -8.342089, Z: -10.982793
296: X: 16.105587, Y: -10.430413, Z: -6.274005
297: X: 11.492208, Y: -14.008168, Z: -4.168312
298: X: 6.963358, Y: -18.116697, Z: -5.229932
299: X: 3.732538, Y: -21.655127, Z: -9.174405
300: X: 0.252168, Y: -20.800097, Z: -15.807775
301: X: 1.679076, Y: -20.506418, Z: -21.840622
302: X: 5.246382, Y: -18.308947, Z: -26.419159
303: X: 9.998230, Y: -14.796496, Z: -28.316570
304: X: 14.661368, Y: -10.910221, Z: -27.024445
305: X: 17.986309, Y: -7.691450, Z: -22.889013
306: X: 19.082140, Y: -6.002645, Z: -17.018354
307: X: 17.655233, Y: -6.296324, Z: -10.985508
308: X: 14.087930, Y: -8.493794, Z: -6.406970
309: X: 9.336083, Y: -12.006244, Z: -4.509557
310: X: 4.672945, Y: -15.892518, Z: -5.801676
311: X: 1.348002, Y: -19.111290, Z: -9.937108
312: X: -1.988295, Y: -17.902637, Z: -16.419506
313: X: -0.535874, Y: -17.422897, Z: -22.434311
314: X: 3.106874, Y: -15.158560, Z: -26.919924
315: X: 7.963878, Y: -11.716353, Z: -28.674425
316: X: 12.733707, Y: -8.018613, Z: -27.227701
317: X: 16.138288, Y: -5.056147, Z: -22.967402
318: X: 17.265369, Y: -3.622743, Z: -17.035070
319: X: 15.812949, Y: -4.102483, Z: -11.020266
320: X: 12.170203, Y: -6.366818, Z: -6.534654
321: X: 7.313201, Y: -9.809025, Z: -4.780148
322: X: 2.543373, Y: -13.506764, Z: -6.226868
323: X: -0.861212, Y: -16.469233, Z: -10.487164
324: X: -4.083781, Y: -15.022482, Z: -16.822775
325: X: -2.630790, Y: -14.406719, Z: -22.825043
326: X: 1.054209, Y: -12.099033, Z: -27.253689
327: X: 5.983824, Y: -8.717765, Z: -28.922064
328: X: 10.837169, Y: -5.168923, Z: -27.383125
329: X: 14.313791, Y: -2.403418, Z: -23.049234
330: X: 15.482138, Y: -1.162262, Z: -17.081654
331: X: 14.029148, Y: -1.778023, Z: -11.079387
332: X: 10.344150, Y: -4.085709, Z: -6.650740
333: X: 5.414537, Y: -7.466976, Z: -4.982362
334: X: 0.561193, Y: -11.015817, Z: -6.521296
335: X: -2.915432, Y: -13.781323, Z: -10.855184
336: X: -6.064855, Y: -12.179090, Z: -17.064680
337: X: -4.634187, Y: -11.459042, Z: -23.060701
338: X: -0.936514, Y: -9.116364, Z: -27.460318
339: X: 4.037376, Y: -5.778775, Z: -29.084656
340: X: 8.954734, Y: -2.340581, Z: -27.498474
341: X: 12.497955, Y: 0.276960, Z: -23.126793
342: X: 13.717640, Y: 1.372477, Z: -17.140997
343: X: 12.286974, Y: 0.652430, Z: -11.144977
344: X: 8.589303, Y: -1.690246, Z: -6.745360
345: X: 3.615414, Y: -5.027834, Z: -5.121019
346: X: -1.301943, Y: -8.466029, Z: -6.707196
347: X: -4.845167, Y: -11.083570, Z: -11.078876
348: X: -7.957144, Y: -9.386028, Z: -17.184555
349: X: -6.567667, Y: -8.578166, Z: -23.179075
350: X: -2.883096, Y: -6.196322, Z: -27.568642
351: X: 2.109293, Y: -2.878710, Z: -29.177078
352: X: 7.071791, Y: 0.485720, Z: -27.573399
353: X: 10.674702, Y: 2.995469, Z: -23.187317
354: X: 11.952630, Y: 3.978055, Z: -17.194073
355: X: 10.563155, Y: 3.170193, Z: -11.199554
356: X: 6.878586, Y: 0.788351, Z: -6.809987
357: X: 1.886199, Y: -2.529261, Z: -5.201549
358: X: -3.076300, Y: -5.893690, Z: -6.805223
359: X: -6.679214, Y: -8.403440, Z: -11.191303
360: X: -9.785419, Y: -6.649920, Z: -17.217497
361: X: -8.449149, Y: -5.758536, Z: -23.212275
362: X: -4.797736, Y: -3.324206, Z: -27.600758
363: X: 0.190424, Y: 0.000793, Z: -29.207054
364: X: 5.178759, Y: 3.325532, Z: -27.600758
365: X: 8.830647, Y: 5.759148, Z: -23.212276
366: X: 10.167571, Y: 6.649557, Z: -17.217501
367: X: 8.831302, Y: 5.758174, Z: -11.222723
368: X: 5.179891, Y: 3.323846, Z: -6.834240
369: X: 0.191732, Y: -0.001153, Z: -5.227941
370: X: -4.796603, Y: -3.325891, Z: -6.834233
371: X: -8.448493, Y: -5.759509, Z: -11.222712
372: X: -11.569979, Y: -3.979154, Z: -17.194242
373: X: -10.292868, Y: -2.995214, Z: -23.187437
374: X: -6.690689, Y: -0.484272, Z: -27.573441
375: X: -1.728641, Y: 2.880865, Z: -29.177025
376: X: 3.263699, Y: 6.198514, Z: -27.568512
377: X: 6.948636, Y: 8.579711, Z: -23.178902
378: X: 8.338796, Y: 9.386418, Z: -17.184385
379: X: 7.061686, Y: 8.402479, Z: -11.191191
380: X: 3.459508, Y: 5.891540, Z: -6.805186
381: X: -1.502538, Y: 2.526403, Z: -5.201600
382: X: -6.494877, Y: -0.791246, Z: -6.810110
383: X: -10.179815, Y: -3.172445, Z: -11.199717
384: X: -13.334480, Y: -1.374290, Z: -17.141682
385: X: -12.115330, Y: -0.277449, Z: -23.127342
386: X: -8.572768, Y: 2.341452, Z: -27.498747
387: X: -3.656021, Y: 5.780683, Z: -29.084574
388: X: 1.317472, Y: 9.118702, Z: -27.459908
389: X: 5.015067, Y: 11.461092, Z: -23.060072
390: X: 6.446000, Y: 12.180210, Z: -17.064003
391: X: 5.226851, Y: 11.083371, Z: -11.078341
392: X: 1.684290, Y: 8.464470, Z: -6.706938
393: X: -3.232455, Y: 5.025241, Z: -5.121108
394: X: -8.205948, Y: 1.687221, Z: -6.745772
395: X: -11.903545, Y: -0.655170, Z: -11.145602
396: X: -15.098316, Y: 1.159585, Z: -17.083305
397: X: -13.930415, Y: 2.402647, Z: -23.050579
398: X: -10.454563, Y: 5.170172, Z: -27.383802
399: X: -5.602111, Y: 8.720602, Z: -28.921888
400: X: -0.673271, Y: 12.102605, Z: -27.252712
401: X: 3.011278, Y: 14.409973, Z: -22.823526
402: X: 4.464266, Y: 15.024451, Z: -16.821127
403: X: 3.296366, Y: 13.781390, Z: -10.853854
404: X: -0.179484, Y: 11.013867, Z: -6.520632
405: X: -5.031933, Y: 7.463438, Z: -4.982542
406: X: -9.960773, Y: 4.081435, Z: -6.651717
407: X: -13.645324, Y: 1.774065, Z: -11.080899
408: X: -16.881054, Y: 3.619589, Z: -17.037828
409: X: -15.754467, Y: 5.055704, Z: -22.969603
410: X: -12.350826, Y: 8.020905, Z: -27.228754
411: X: -7.582133, Y: 11.720667, Z: -28.674046
412: X: -2.726155, Y: 15.163646, Z: -26.918215
413: X: 0.915952, Y: 17.427292, Z: -22.431736
414: X: 2.368289, Y: 17.905069, Z: -16.416756
415: X: 1.241705, Y: 16.468958, Z: -10.484983
416: X: -2.161935, Y: 13.503758, Z: -6.225832
417: X: -6.930627, Y: 9.803996, Z: -4.780537
418: X: -11.786605, Y: 6.361019, Z: -6.536364
419: X: -15.428713, Y: 4.097368, Z: -11.022840
420: X: -18.697268, Y: 5.999176, Z: -17.022472
421: X: -17.601793, Y: 7.691314, Z: -22.892239
422: X: -14.277842, Y: 10.913363, Z: -27.025917
423: X: -9.616062, Y: 14.801977, Z: -28.315891
424: X: -4.865572, Y: 18.315207, Z: -26.416513
425: X: -1.299265, Y: 20.511683, Z: -21.836721
426: X: 0.127273, Y: 20.802862, Z: -15.803668
427: X: -0.968199, Y: 19.110723, Z: -9.933902
428: X: -4.292149, Y: 15.888678, Z: -5.800223
429: X: -8.953927, Y: 12.000064, Z: -4.510247
430: X: -13.704417, Y: 8.486835, Z: -6.409620
431: X: -17.270727, Y: 6.290357, Z: -10.989409
432: X: -20.563478, Y: 8.298319, Z: -17.040161
433: X: -19.496529, Y: 10.323380, Z: -22.808897
434: X: -16.266956, Y: 13.866457, Z: -26.750219
435: X: -11.740126, Y: 17.978189, Z: -27.808054
436: X: -7.128994, Y: 21.556837, Z: -25.698956
437: X: -3.669112, Y: 23.643509, Z: -20.988056
438: X: -2.287551, Y: 23.679081, Z: -14.937637
439: X: -3.354500, Y: 21.654020, Z: -9.168903
440: X: -6.584070, Y: 18.110945, Z: -5.227580
441: X: -11.110901, Y: 13.999215, Z: -4.169743
442: X: -15.722032, Y: 10.420566, Z: -6.278837
443: X: -19.181917, Y: 8.333893, Z: -10.989734
444: X: -22.493090, Y: 10.515591, Z: -17.079208
445: X: -21.469761, Y: 12.962384, Z: -22.690231
446: X: -18.364489, Y: 16.892122, Z: -26.355200
447: X: -14.009327, Y: 21.251837, Z: -27.092087
448: X: -9.571239, Y: 24.873346, Z: -24.703447
449: X: -6.239405, Y: 26.786268, Z: -19.829317
450: X: -4.906587, Y: 26.478039, Z: -13.775712
451: X: -5.929914, Y: 24.031248, Z: -8.164692
452: X: -9.035183, Y: 20.101509, Z: -4.499723
453: X: -13.390344, Y: 15.741796, Z: -3.762831
